row_id,source_dataset,npdes_id,registry_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,actual_average_flow,current_snc_status,current_violation,inspections,pct_low_income_3mi,pct_people_of_color,population_density,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
10156,EPA ECHO CWA/NPDES facility locations,AKNOE0102,110071525789,WOTC SCRAP METAL AND RECYCLING INC.,ANCHORAGE,AK,Anchorage Municipality,Admin Continued,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,19.21,47.08,3301.59,N,Knik Tribe - 23 mile(s),61.140799999988104,-149.88000000003703,TRUE,FALSE
10157,EPA ECHO CWA/NPDES facility locations,AKR10H0UB,110071950736,MELANIE LANE & BRIAN DRIVE STREET IMPROVEMENTS,PALMER,AK,Matanuska-Susitna,Effective,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,21.09,26.2,239.26999999999998,N,"Eklutna Native Village - 11 mile(s), Knik Tribe - 23 mile(s)",61.5472399999608,-149.090020000369,TRUE,FALSE
10158,EPA ECHO CWA/NPDES facility locations,AKR10H0CG,110071503839,ANC RON 3 & 4 REHABILITATION,ANCHORAGE,AK,Anchorage Municipality,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,20.419999999999998,42.89,3379.29,N,Knik Tribe - 22 mile(s),61.1750599998601,-149.98753999967903,TRUE,FALSE
10159,EPA ECHO CWA/NPDES facility locations,AKG002192,110071296282,TCC CHIEF ANDREW ISAAC HEALTH CENTER EXPANSION,FAIRBANKS,AK,Fairbanks North Star,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,36.57,37.39,7.92,NA,NA,64.49560000009501,-147.49500000041402,FALSE,FALSE
10160,EPA ECHO CWA/NPDES facility locations,AKG520103,110045587673,TRIDENT CHIGNIK SUPPORT FACILITY,CHIGNIK,AK,Lake and Peninsula,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,0,100,0.05,N,"Chignik Bay Tribal Council - 1 mile(s), Native Village of Chignik Lagoon - 7 mile(s), Chignik Lake Village - 15 mile(s)",56.296300000182406,-158.386898999949,TRUE,FALSE
10161,EPA ECHO CWA/NPDES facility locations,AKR06AD11,110070517638,ALASKA GARDEN AND PET SUPPLY INC,ANCHORAGE,AK,Anchorage Municipality,Expired,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,35.790000000000006,57.59,3042.8500000000004,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.22223000018561,-149.854670000053,TRUE,FALSE
10162,EPA ECHO CWA/NPDES facility locations,AKR10H0TT,110071952080,CHIGNIK LAKE FTTH PROJECT,CHIGNIK LAKE,AK,Lake and Peninsula,Terminated,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,0,0,100,0.05,N,"Chignik Lake Village - 2 mile(s), Native Village of Chignik Lagoon - 12 mile(s), Chignik Bay Tribal Council - 15 mile(s)",56.25386600019859,-158.76925200027898,TRUE,FALSE
10163,EPA ECHO CWA/NPDES facility locations,AKL023213,110010680423,JUNEAU DOUGLAS WWTP PLANT,JUNEAU,AK,Juneau City and Borough,Effective,Associated Permit Record,NON-POTW,NA,NA,NA,NA,0,21.1,30.73,260.66,N,"Douglas Indian Association - 2 mile(s), Central Council of the Tlingit & Haida Indian Tribes - 2 mile(s)",58.28595399996521,-134.385382999829,TRUE,FALSE
10164,EPA ECHO CWA/NPDES facility locations,AKR06GC64,110070379438,KASILOF,KASILOF,AK,Kenai Peninsula,Expired,General Permit Covered Facility,NON-POTW,NA,NA,NA,NA,1,32.44,14.88,44.78,N,"Kenaitze Indian Tribe - 12 mile(s), Salamatof Tribe - 15 mile(s)",60.383099999944996,-151.28239000009503,TRUE,FALSE
10165,EPA ECHO CWA/NPDES facility locations,AKG573040,110070002821,SHAGELUK SEWAGE LAGOON,SHAGELUK,AK,Yukon-Koyukuk (CA),Effective,General Permit Covered Facility,POTW,NA,NA,NA,NA,1,0,100,0.04,N,"Shageluk Native Village - 2 mile(s), Anvik Village - 22 mile(s), Organized Village of Grayling (aka Holikachuk) - 25 mile(s)",62.65763499993599,-159.53317899989096,TRUE,FALSE
