row_id,source_dataset,pws_id,system_name,facility_id,source_type_code,source_type,federal_type_code,federal_type,activity_status,population_served,comment,longitude,latitude
88,ADEC SDWIS active PWS source locations,AK2244484   ,KPBSD NIKISKI MIDDLE/HIGH SCHOOL,32890,WL,Well,NTNC,Non-transient non-community,NA,439,NA,-151.298482687447,60.7339714426515
89,ADEC SDWIS active PWS source locations,AK2248250   ,ROSCOS PIZZA,32898,WL,Well,NC  ,NC  ,NA,56,NA,-151.67737222437194,60.041271429389695
90,ADEC SDWIS active PWS source locations,AK2249727   ,NEW LIFE CHRISTIAN FELLOWSHIP,32914,WL,Well,NC  ,NC  ,NA,52,NA,-151.26920142151496,60.33186547477109
91,ADEC SDWIS active PWS source locations,AK2261096   ,CHIGNIK LAKE WATER SYSTEM,32916,WL,Well,C   ,C   ,NA,200,NA,-158.763748801235,56.2535596474376
92,ADEC SDWIS active PWS source locations,AK2261591   ,BRISTOL BAY BOROUGH DOCK,32917,WL,Well,NC  ,NC  ,NA,225,NA,-156.98393219960198,58.73341269855431
93,ADEC SDWIS active PWS source locations,AK2213530   ,PETERS CREEK TERRACE APTS.,32922,WL,Well,C   ,C   ,NA,48,NA,-149.43035319409796,61.42115170126629
94,ADEC SDWIS active PWS source locations,AK2215566   ,HOMER DRIVE APTS.,32925,WL,Well,C   ,C   ,NA,50,NA,-149.86162201852702,61.17914864628901
95,ADEC SDWIS active PWS source locations,AK2227440   ,LAZY MOUNTAIN BIBLE CHURCH,32928,WL,Well,NC  ,NC  ,NA,102,NA,-149.05058333372,61.611279751583794
96,ADEC SDWIS active PWS source locations,AK2270338   ,CHEFORNAK WATER SYSTEM,32938,WL,Well,C   ,C   ,NA,513,NA,-164.27371436677794,60.1589744467301
97,ADEC SDWIS active PWS source locations,AK2250605   ,USCG BEAR VALLEY GOLF COURSE,32949,WL,Well,NC  ,NC  ,NA,59,NA,-152.55908688282003,57.7848154485005
98,ADEC SDWIS active PWS source locations,AK2244997   ,OFFSHORE SYSTEMS KENAI,32952,WL,Well,NC  ,NC  ,NA,74,NA,-151.307912690833,60.739321440762396
99,ADEC SDWIS active PWS source locations,AK2260325   ,TOGIAK WATER SYSTEM,32957,WL,Well,C   ,C   ,NA,910,NA,-160.41429112502698,59.06407014453671
100,ADEC SDWIS active PWS source locations,AK2249379   ,"RESURRECTION ROADHOUSE RESTAURANT, WELL",32963,WL,Well,NC  ,NC  ,NA,100,NA,-149.435535334199,60.15410078036359
101,ADEC SDWIS active PWS source locations,AK2241062   ,SALMON CREEK TRAILER COURT,32969,WL,Well,C   ,C   ,NA,125,NA,-149.40801233098702,60.1487787851065
102,ADEC SDWIS active PWS source locations,AK2298932   ,TSAINA LODGE,32979,WL,Well,NC  ,NC  ,NA,43,NA,-145.553495009736,61.1976563490521
103,ADEC SDWIS active PWS source locations,AK2227615   ,NATL OUTDOOR LEADERSHIP SCHOOL,32982,WL,Well,NC  ,NC  ,NA,112,NA,-149.14809035729203,61.644592733448704
104,ADEC SDWIS active PWS source locations,AK2291596   ,KENNY LAKE COMMUNITY WELL,32985,WL,Well,C   ,C   ,NA,236,NA,-145.01171537585796,61.726519410411505
105,ADEC SDWIS active PWS source locations,AK2225821   ,KINGS CHAPEL,32992,WL,Well,NC  ,NC  ,NA,350,NA,-149.36584930279605,61.571707702266586
106,ADEC SDWIS active PWS source locations,AK2220692   ,ISLANDER BAR & RESTAURANT,33007,WL,Well,NC  ,NC  ,NA,38,NA,-149.883469276366,61.542654619141494
107,ADEC SDWIS active PWS source locations,AK2224036   ,ELSINORE ESTATES SUBDIVISION,33012,WL,Well,C   ,C   ,NA,120,NA,-149.406484315144,61.589267694471495
108,ADEC SDWIS active PWS source locations,AK2249662   ,REAL ALASKAN CABINS & RV,33014,WL,Well,NC  ,NC  ,NA,86,NA,-150.709369558625,60.5229495519041
109,ADEC SDWIS active PWS source locations,AK2260634   ,L&PSD NEWHALEN SCHOOL,33016,WL,Well,NTNC,Non-transient non-community,NA,85,NA,-154.89425190213402,59.72019094333431
110,ADEC SDWIS active PWS source locations,AK2224557   ,MEADOW LAKES CENTER,33023,WL,Well,NTNC,Non-transient non-community,NA,276,NA,-149.633393307955,61.58238165763169
111,ADEC SDWIS active PWS source locations,AK2244824   ,HIGHER GROUND BAPTIST BIBLE CAMP,33025,WL,Well,NC  ,NC  ,NA,90,NA,-150.87524357790002,60.556727522927595
112,ADEC SDWIS active PWS source locations,AK2270150   ,MOUNTAIN VILLAGE WATER SYSTEM,33042,WL,Well,C   ,C   ,NA,887,NA,-163.73812771794402,62.09061132865791
113,ADEC SDWIS active PWS source locations,AK2270168   ,RUSSIAN MISSION WATER SYSTEM,33043,WL,Well,C   ,C   ,NA,340,NA,-161.32203277763907,61.7857697429476
114,ADEC SDWIS active PWS source locations,AK2280171   ,ANVIK WATER SYSTEM,33044,WL,Well,C   ,C   ,NA,96,NA,-160.199711532603,62.652486841205494
115,ADEC SDWIS active PWS source locations,AK2226428   ,VIOLET CIRCLE WATER COMPANY,33050,WL,Well,C   ,C   ,NA,35,NA,-149.15408730793004,61.57657573675271
116,ADEC SDWIS active PWS source locations,AK2218641   ,HILLTOP SKI AREA - CHALET,33056,WL,Well,NC  ,NC  ,NA,101,NA,-149.74413899281998,61.140386667945194
117,ADEC SDWIS active PWS source locations,AK2218642   ,NEAR POINT KNOLL SUBDIVISION,33057,WL,Well,C   ,C   ,NA,28,NA,-149.68724501028305,61.16450167567339
118,ADEC SDWIS active PWS source locations,AK2213019   ,EKLUTNA GATE,33059,WL,Well,C   ,C   ,NA,45,NA,-149.36908322028998,61.45704670902619
119,ADEC SDWIS active PWS source locations,AK2218582   ,WHITTIER ACCESS TUNNEL,33061,WL,Well,NC  ,NC  ,NA,69,NA,-148.81566675856598,60.79000684092592
