row_id,source_dataset,npdes_id,facility_name,city,state,county,permit_status,permit_type,facility_type,total_design_flow,current_snc_status,current_violation,permit_feature_number,state_water_body_name,tribal_spatial_flag,derived_tribes,latitude,longitude,has_tribal_context,has_current_violation
693,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,M003,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.229784,-149.89104000000003,TRUE,FALSE
694,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,T004,NA,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.22973200000001,-149.89121690000005,TRUE,FALSE
695,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,M008,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.22950500000001,-149.89127600000003,TRUE,FALSE
696,EPA ECHO NPDES outfalls/permitted features,AKR06AE27,OCEAN DOCK TERMINAL,ANCHORAGE,AK,ANCHORAGE,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,T001,Knik Arm of Cook Inlet,N,"Knik Tribe - 17 mile(s), Eklutna Native Village - 24 mile(s)",61.231305000000006,-149.89425690000002,TRUE,FALSE
697,EPA ECHO NPDES outfalls/permitted features,AKG370982,CARTER HOMESTAKE CREEK MINE SITE,HEALY,AK,DENALI,Admin Continued,General Permit Covered Facility,Privately Owned Facility,NA,NA,Yes,001,Homestake Creek,NA,NA,63.99230000000001,-148.56,FALSE,TRUE
698,EPA ECHO NPDES outfalls/permitted features,AKR06AC84,US ARMY GARRISON FORT GREELY,FORT GREELY,AK,SOUTHEAST FAIRBANKS (CA),Admin Continued,General Permit Covered Facility,Federal Facility (U.S. Government),NA,NA,No,004,Jarvis Creek,NA,NA,64.0139,-145.712,FALSE,FALSE
699,EPA ECHO NPDES outfalls/permitted features,AKR06AC84,US ARMY GARRISON FORT GREELY,FORT GREELY,AK,SOUTHEAST FAIRBANKS (CA),Admin Continued,General Permit Covered Facility,Federal Facility (U.S. Government),NA,NA,No,002,Jarvis Creek,NA,NA,63.993100000000005,-145.70499999999998,FALSE,FALSE
700,EPA ECHO NPDES outfalls/permitted features,AKR06AC84,US ARMY GARRISON FORT GREELY,FORT GREELY,AK,SOUTHEAST FAIRBANKS (CA),Admin Continued,General Permit Covered Facility,Federal Facility (U.S. Government),NA,NA,No,003,Jarvis Creek,NA,NA,64.0128,-145.71299999999997,FALSE,FALSE
701,EPA ECHO NPDES outfalls/permitted features,AKR06AC84,US ARMY GARRISON FORT GREELY,FORT GREELY,AK,SOUTHEAST FAIRBANKS (CA),Admin Continued,General Permit Covered Facility,Federal Facility (U.S. Government),NA,NA,No,001,Jarvis Creek,NA,NA,63.9686,-145.694,FALSE,FALSE
702,EPA ECHO NPDES outfalls/permitted features,AKG374039,DEVORE NORTON SOUND DREDGE SITE,NOME,AK,NOME (CA),Effective,General Permit Covered Facility,Privately Owned Facility,NA,NA,No,002,NA,N,Nome Eskimo Community - 7 mile(s),64.44590000000001,-165.23989999999998,TRUE,FALSE
